run_name,family,allow_reflection,patch_size,embedding_dim,temperature,negative_min_offset,negative_max_offset,half_width,num_negatives,train_size,val_size,test_size,batch_size,num_epochs,patience,lr,weight_decay,val_loss,val_positive_similarity_mean,val_negative_similarity_mean,val_logits_mean,val_hardest_negative_similarity_mean,val_positive_minus_hardest_negative_mean,val_similarity_gap,val_num_samples_evaluated,test_loss,test_positive_similarity_mean,test_negative_similarity_mean,test_logits_mean,test_hardest_negative_similarity_mean,test_positive_minus_hardest_negative_mean,test_similarity_gap,test_num_samples_evaluated
run_031_fam-euclidean_patch-11_emb-64_temp-0.07_neg-15-30,euclidean,False,11,64,0.07,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.7887285490036011,0.9679408159255981,0.08171935234467188,0.36674724706013995,0.5495031439463297,0.4184376687208811,0.8862214635809262,3000,1.7873825912475585,0.9679523525238037,0.08192178102334341,0.3667076416015625,0.5494792321523031,0.41847311782836916,0.8860305715004604,3000
run_042_fam-euclidean_patch-11_emb-128_temp-0.07_neg-6-40,euclidean,False,11,128,0.07,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8215918496449788,0.9645640122095743,0.11426624331871668,0.18840719668070474,0.6740863410631815,0.2904776471455892,0.8502977688908576,3000,1.8208210846583048,0.9645606602032979,0.11441422667105992,0.18801787694295247,0.6740708867708842,0.2904897912343343,0.850146433532238,3000
run_035_fam-euclidean_patch-11_emb-64_temp-0.1_neg-15-30,euclidean,False,11,64,0.1,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8239698880513509,0.957440751393636,0.07493204967180887,0.17164593029022218,0.5000785527229309,0.45736221138636274,0.8825087017218272,3000,1.8229605172475178,0.9574363624254862,0.07507608850797018,0.17136256126562754,0.5000122979482015,0.4574240543047587,0.882360273917516,3000
run_023_fam-euclidean_patch-9_emb-128_temp-0.1_neg-15-30,euclidean,False,9,128,0.1,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8257121756871542,0.9526950195630391,0.09128297646840414,0.2901387705008189,0.507107216199239,0.4455877975622813,0.861412043094635,3000,1.8251824986139933,0.9527170306841533,0.09155913158257803,0.2904246711730957,0.5073031231562296,0.44541391587257384,0.8611578991015753,3000
run_003_fam-euclidean_patch-9_emb-64_temp-0.05_neg-15-30,euclidean,False,9,64,0.05,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8347689383824666,0.9747563428878784,0.08159817210833231,0.30011857040723167,0.5765063268343608,0.3982500084241231,0.8931581707795461,3000,1.8344969663619994,0.9747508694330851,0.08183155796925227,0.3015499023596446,0.5766961223284404,0.3980547285874685,0.8929193114638329,3000
run_016_fam-euclidean_patch-9_emb-128_temp-0.05_neg-15-40,euclidean,False,9,128,0.05,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.835775754928589,0.9762901403109232,0.05153948907057444,0.24038681038220724,0.6034135197003683,0.37287664898236594,0.9247506512403487,3000,1.8354362875620525,0.976299531618754,0.05183681161204974,0.24228271571795146,0.6036031696001689,0.37269636638959247,0.9244627200067043,3000
run_043_fam-euclidean_patch-11_emb-128_temp-0.07_neg-15-30,euclidean,False,11,128,0.07,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.836231681505839,0.9716679914792379,0.08260769404967626,0.271946328719457,0.5504886689186096,0.4211793047587077,0.8890602974295616,3000,1.8358378502527872,0.9716699083646139,0.08278278521696726,0.27274819270769757,0.5504820729891459,0.4211878328323364,0.8888871231476466,3000
run_047_fam-euclidean_patch-11_emb-128_temp-0.1_neg-15-30,euclidean,False,11,128,0.1,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8705640144348143,0.9596862044334412,0.06416765407721202,0.14345455662409465,0.5006993054548899,0.4589869066079458,0.8955185503562292,3000,1.8701855869293214,0.9596894098917643,0.0643206631441911,0.1434985643227895,0.5006862560908,0.45900315562884014,0.8953687467475733,3000
run_046_fam-euclidean_patch-11_emb-128_temp-0.1_neg-6-40,euclidean,False,11,128,0.1,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8882842197418213,0.9567517668406169,0.09243860346078872,0.16519956165552138,0.6221455246607462,0.3346062338352203,0.8643131633798282,3000,1.8877474762598674,0.9567513120969137,0.09253240495920181,0.16472561538219452,0.6220928169886271,0.3346584987640381,0.8642189071377119,3000
run_014_fam-euclidean_patch-9_emb-128_temp-0.05_neg-6-40,euclidean,False,9,128,0.05,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.8907695503234863,0.9737175200780233,0.15791117537021637,0.4429491030375163,0.7360635601679484,0.23765395951271057,0.8158063447078069,3000,1.8907263008753459,0.9737072801589965,0.15825889106591542,0.44441536617279054,0.736318547407786,0.23738873585065207,0.8154483890930811,3000
run_048_fam-euclidean_patch-11_emb-128_temp-0.1_neg-15-40,euclidean,False,11,128,0.1,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.9001387112935384,0.9604252581596374,0.058176620612541835,0.2507901950677236,0.5175235813458761,0.44290167752901716,0.9022486375470956,3000,1.899703218460083,0.9604266419410705,0.05835067828496297,0.250606835881869,0.5175626565615337,0.44286398100852964,0.9020759636561075,3000
run_045_fam-euclidean_patch-11_emb-128_temp-0.1_neg-6-30,euclidean,False,11,128,0.1,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.9196271702448526,0.9594673426946004,0.11878829159339269,0.16019356608390808,0.6385128599802653,0.320954470316569,0.8406790511012078,3000,1.9190730721155802,0.9594659986495971,0.11900179237127304,0.1598338654836019,0.6384968689282735,0.32096916063626607,0.8404642062783241,3000
run_009_fam-euclidean_patch-9_emb-64_temp-0.1_neg-6-30,euclidean,False,9,64,0.1,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.9666813742319742,0.9513509112993876,0.1461920204559962,0.22579761083920796,0.6465836234092712,0.3047672795454661,0.8051588908433914,3000,1.96657306098938,0.9513468631108601,0.14647756346066793,0.22562361749013266,0.6467409195899964,0.3046059726079305,0.8048692996501923,3000
run_024_fam-euclidean_patch-9_emb-128_temp-0.1_neg-15-40,euclidean,False,9,128,0.1,15,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,1.9965246782302857,0.9478743402163188,0.047000288168589276,0.10411390749613444,0.5105694289207459,0.4373049062093099,0.9008740520477295,3000,1.996186851501465,0.947934249718984,0.047253299216429394,0.10407342930634816,0.5107716315587362,0.43716261378924054,0.9006809505025546,3000
run_011_fam-euclidean_patch-9_emb-64_temp-0.1_neg-15-30,euclidean,False,9,64,0.1,15,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,2.0263039833704632,0.9549879461924236,0.07605442810058594,0.12706982731819152,0.5140371389389038,0.4409507839679718,0.8789335180918376,3000,2.026491253217061,0.9549914016723633,0.07633828725417455,0.12674346236387887,0.5142621021270752,0.44072930463155113,0.8786531144181887,3000
run_022_fam-euclidean_patch-9_emb-128_temp-0.1_neg-6-40,euclidean,False,9,128,0.1,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,2.0423563146591186,0.9495601975123088,0.10045102753241857,0.14536752303441366,0.6318004320462545,0.3177597465515137,0.8491091699798903,3000,2.0418207715352374,0.9495964412689208,0.10077576722701391,0.14489296730359397,0.6320308731396993,0.3175655695597331,0.848820674041907,3000
run_010_fam-euclidean_patch-9_emb-64_temp-0.1_neg-6-40,euclidean,False,9,64,0.1,6,40,14,8,20000,3000,3000,256,25,6,0.001,0.0001,2.052973534266154,0.9515147962570191,0.1087904884815216,0.15430315764745076,0.6399058427810669,0.31160896801948545,0.8427243077754974,3000,2.052677697181702,0.9515330004692077,0.10911019295454025,0.15419053292274476,0.640152279218038,0.31138072339693706,0.8424228075146675,3000
run_021_fam-euclidean_patch-9_emb-128_temp-0.1_neg-6-30,euclidean,False,9,128,0.1,6,30,14,8,20000,3000,3000,256,25,6,0.001,0.0001,2.08276721127828,0.95244917456309,0.13955691448847451,0.2128845474720001,0.6572505993843079,0.2951985809803009,0.8128922600746155,3000,2.082424264272054,0.9524381214777629,0.13990096445878347,0.21290760842959086,0.6574883488019307,0.29494976393381755,0.8125371570189794,3000
